Code,Disease,ToMerge
0067U,Onc Brst Imhchem Prtn Xprs P,rf
0068U,Candida Species Panel Amp Pr,b
0069U,Onc Clrct Microrna Xprs Prfl,M
0070U,Cyp2D6 Gene Analysis Common,&
0071U,Cyp2D6 Gene Analysis Full Ge,ne
0072U,Cyp2D6 Gene Trgt Seq Alys Cy,p2
0073U,Cyp2D6 Gene Trgt Seq Alys Cy,p2
0074U,Cyp2D6 Trgt Seq Alys Nondup,Ge
0075U,Cyp2D6 Gene Trgt Seq Alys 5',G
0076U,Cyp2D6 Gene Trgt Seq Alys 3',G
0077U,Ig Paraprotein Qual Imprcip&,Ms
0078U,Pain Mgt Opioid Use Do Gnoty,p
0079U,Cmprtv Dna Alys Mlt Snps Ur&,Bu
0080U,Onc Lung 5 Clinical Risk Fac,to
0082U,Rx Tst Def 90+ Rx/Sbsts Ur R,ep
0083U,Onc Rspse Chemotx Rx Motilit,y
0084U,Rbc Dna Gnotyp 10 Bld Grp Ph,nt
0085U,Cdtb & Vinculin Igg Antibodi,es
0086U,Nfct Ds Bact&Fng Org Id Bld,Cu
0087U,Card Hrt Trnspl Mrna Gen Xpr,s
0088U,Trnsplj Med Kdn Algrft Rej 1,49
0089U,Onc Mlnma Gen Xprs Prfl Rtqp,cr
0090U,Onc Cutan Mlnma Mrna Gen Xpr,s
0091U,Onc Clrct Scr Cll Enum Crcg,Tu
0092U,Onc Lung 3 Prtn Bmrk Ia Plsm,A
0093U,Rx Mntr 65 Com Drugs Lc-Ms/M,s
0094U,Genome Rapid Sequence Analys,is
0095U,Inflammation Ee Elisa Alys A,lg
0096U,Hpv High Risk Types Male Uri,ne
0097U,Gi Pthgn Mult Rev Trans&Amp,Pr
0098U,Respir Pthgn Mult Rev Trans&,Am
0099U,Respir Pthgn Mult Rev Trans&,Am
0100U,Respir Pthgn Mult Rev Trans&,Am
0101U,Hered Colon Ca Do Gen Seq Al,ys
0102U,Hered Brst Ca Rltd Do Gen Se,q
0103U,Hered Ovarian Cancer Gen Seq,A
0105U,Nephrology Ckd Eclia Tumor N,ec
0106U,Gastric Emptying Serial Coll,j
0107U,C Diff Toxin Antigen Detcj I,a
0108U,Gi Barretts Esoph Quan Immun,ol
0109U,Id Aspergillus Dna 4 Species,B
0110U,Rx Mntr 1+Oral Onc Rx&Sbsts,Sr
0111U,Oncology Colon Cancer Trgt K,ra
0112U,Iadi Trgt Seq Alys 16S&18S R,rn
0113U,Oncology Prst8 Meas Pca3&Tmp,rs
0114U,Gi Barretts Esophagus Vim&Cc,na
0115U,Respir Iadna 18 Viral Type&S,ub
0116U,Rx Mntr Nzm Ia 35+Drugs Lc-M,s/
0117U,Pain Mgmt Alys 11 Endogenous,A
0118U,Transplantation Med Quan Don,#NAME?
0119U,Cardiology Ceramides Liq Chr,om
0120U,Onc B Cll Lymphm Mrna Gene X,pr
0121U,Sickle Cell Disease Vcam-1 W,ho
0122U,Sickle Cell Disease P-Select,in
0123U,Mchnl Frglty Rbc Shear Strs&,Sp
0124U,Ftl Cgen Abnor Biochem Assay,3
0125U,Ftl Cgen Abnor&Prnt Comp 5 A,na
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
0126U,Ftl Cgen Abnor&Prnt Comp 5 A,na
0127U,Ob Preeclampsia Biochem Assa,y
0128U,Ob Pe Biochem Assay 3 Anal Q,ua
0129U,Hereditary Brst Ca Rltd Do G,en
0130U,Hereditary Colon Ca Do Trgt,Mr
0131U,Hered Brst Ca Rltd Do Trgt M,rn
0132U,Hered Ova Ca Rltd Do Trgt Mr,na
0133U,Hered Prst8 Ca Rltd Do Trgt,Mr
0134U,Hereditary Pan Ca Trgt Mrna,Se
0135U,Hereditary Gyn Ca Trgt Mrna,Se
0136U,Atm Mrna Sequence Analysis,
0137U,Palb2 Mrna Sequence Analysis,
0138U,Brca1 Brca2 Mrna Sequence An,al
100,Anest for proced on integ sy,s - head/or saliv glands
102,Anesthesia for plastic repai,r of cleft lip
103,Anesthesia for bepharoplasty,
104,Anesthesia for electroconvul,sive therapy
120,Anest; proc-esternal/middle/,"inner ear, inc biopsy nos"
124,Anesthesia for otoscopy,
126,Anesthesia for tympanotomy,
140,Anesthesia for procedures on,eye; nos
142,Anesthesia for procedures on,eye; lens surgery
144,Anest; procedures on eye; co,rneal transplant
145,Anesthesia for procedures on,eye; vitrectomy
147,Anesthesia for iridectomy,
148,Anesthesia for procedures on,eye; opthalmoscopy
160,Anest; proc-nose and accesso,ry sinuses; nos
162,Anest; proced-nose/accesory,sinuses; rad surg
164,Anesth-proced on nose & acce,ss sinuses; biop/soft tis
170,Anesthesia for intraoral pro,"cedures, incl biopsy; nos"
172,"Anesth-intraoral proced, w/b",iop; repair-cleft palate
174,Anest; intraoral pro-w/biop-,ex/retropharyngeal tumor
176,"Anesth-intraoral proced, w/b",iopsy; rad surg
190,Anesthesia for procedures on,facial bones; nos
192,Anest - proced on facial bon,es; rad surg
210,Anesthesia for intracranial,proacedures nos
211,"Anesth, cran surg, hemotoma",
212,Anest; intracranial procedur,es; subdural taps
214,Anesthesia for intracranial,procedures; burr holes
215,Anesthesia for skull fractur,e
216,Anesthesia-intracranial proc,ed; vascular
218,"Anesth-intracranial proced,",in sitting position
220,Anest - intracranial proced;,spinal fluid shunting proc
222,Anest - intracranial proc; e,lectrocoag-cranial nerve
300,Anest; proc-integ sys of nec,"k, incl subcu tissue"
320,Anesth neck organ 1 yr/>,
322,Anest proced on neck: needle,biopsy of thyroid
350,Anesth; proc-on major vessel,s of neck; nos
352,Anesth-proc on maj vessels o,f neck; simple ligation
400,Anesth; proc on ant integ sy,s-chest a/subcu tise
402,Anest; proc-ant integ sys of,chest; reconstr on breast
404,Anest; proc-ant integ sys of,chest; radical/mod rad; breast
406,Anest; ant integ sys chest;,rad/mod rad proc; breast w/node disse
410,Anest; proc ant integ chest;,elec convers of arrhythmias
450,Anest; proc-on clavicle and,scapula; nos
454,Anesthesia for procedures on,"clavicle, biopsy"
470,Anesthesia for partial rib r,esection nos
472,Anest; partial rib resection,", thoracoplasty (any type)"
474,Anesth surgery of rib,
500,Anesthesia for all procedure,s on esophagus
520,Anest for closed chest proc,nos
522,Anest - closed chest proced;,needle biopsy-pleura
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
524,Anest for closed chest proce,dure; pneumocentesis
528,Anes mediascpy & dx thorscpy,
529,Anes medscpy&thorscpy 1 lung,
530,Anesthesia for permanent tra,nsvenous pacemaker insertion
532,Anesthesia for accesss to ce,ntral venous circula
534,Anest-transven insert/replac,e-cardioverter/debfib
537,Anest for cardiac electrophy,siologic procedures
539,Anest; tracheobronchial reco,nstruction
540,Anest; thoracot proced-lungs,/pleura/dia/media nos
541,Anest; thoracot proced; one,lung ventilation
542,Anesth remvl pleura,
546,Anesth-thoracot; pul resecti,on w/thoracoplasty
548,Anesth-thoracotomy; repair-t,rauma to trachea/bronchi
550,Anesthesia for sternal debri,dement
560,Anest-heart/pericard/great v,"es-chest; w/o pump oxygenator, ped"
562,Anest-heart/pericard/great v,es-chest; w/pump oxygenator
563,Anest-heart/pericard/great v,es-chest; w/pump oxyg w/hypotherm
566,Anest for direct coronary ar,tery bypass graft w/out pump oxyg
567,"Anesth, cabg w/pump",
580,Anesthesia for heart transpl,ant-heart/lung
600,Anesth for proced on cerv sp,ine/cord; nos
604,Anesth-post cerv laminect-si,tting position
620,Anesthesia-proced on thoraci,c spine/cord; nos
625,Anes spine tranthor w/o vent,
626,"Anes, spine transthor w/vent",
630,Anesthesia for procedures in,lumbar region (nos)
632,Anesthesia for lumbar sympat,hectomy
635,Anesth-procedures in lum reg,ion; diag/therapeutic lum puncture
640,Anesth-manip of spine; close,d proced on spine
670,Anesth-ext spine/spinal cord,proced
700,Anesth-proced on upper ant a,bdom wall; (nos)
702,Anesthesia for percutaneous,liver biopsy
730,Anesth-procedures on upper p,ost abdominal wall
731,Anes Upr Gi Ndsc Px Nos,
732,Anes Upr Gi Ndsc Px Ercp,
740,Anesth-upper gastrointestina,l endoscopic proced
750,Anesthesia for hernia repair,s in upper abdomen; (nos)
752,Anesth-repair lum/ventral he,rnias/wound dehiscence
754,Anesth-hernia repairs-up abd,omen; omphalocele
756,Anesth-transabdominal repair,#NAME?
770,Anesth-all procedures-major,abdominal blood ves
790,Anesth-intraperitoneal proce,"d-up abdo, w/laparos nos"
792,Anesth-intraperitoneal proce,d up abdo-partial hepatectomy
794,Anesth-intraperitoneal pro/u,p abdo; pancreatect/part/tot
796,Anesth-intraperitoneal pro u,"p abdo, shunts/liver transplant"
797,Anesth-intraperitoneal pro u,"p abdo, gastric restrict procedure"
800,Anesth-pro low ant abdom wal,l nos
802,Anesth-pro low ant abdom wal,l; panniculectomy
810,Anesthesia for intestinal en,doscopic procedures
811,Anes Lwr Intst Ndsc Nos,
812,Anes Lwr Intst Scr Colsc,
813,Anes Upr Lwr Gi Ndsc Px,
820,Anesth-pro on low post abdom,inal wall
830,Anesthesia for hernia repair,s in lower abdomen; (nos)
832,"Anesth-hernia repair, ventra",l & incisional hernias
840,Anesth-intraperitoneal proce,d low abdo w/laparos; nos
842,Anesthesia for amniocentesis,
844,Anesthesia for abdominoperit,oneal resection
846,Anesthesia for radical hyste,rectomy
848,Anesthesia for pelvic exentr,ation
851,Anesthesia for tubal ligatio,n
860,Anesth-extraperitoneal low a,"bdo, w/urinary tract-nos"
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
862,Anesth-renal proced w/upper,1/3 ureter/donor nephrect
864,Aanesthesia for total cystec,tomy
865,Anest - extraperitoneal proc,ed-lower abd; rad prostatectomy
866,Anesthesia for adrenalectomy,
868,Anesthesia for renal transpl,ant (recipient)
870,Anesthesia for cystolithioto,my
872,Anesth-lithotripsy/extracorp,shock wave-w/h20 bath
873,Anesth-lithotripsy/extracorp,shock wave-w/o h20 bath
880,Anesth-proced on maj low abd,om ves; nos
882,Anesth-proced on maj low abd,om ves; infer vena cava liga
902,Anesthesia for anorectal pro,cedures
904,Anesthesia for radical perin,eal procedure
906,Anesthesia for vulvectomy,
908,Anesthesia for perineal pros,tatectomy
910,Anesthesia for transurethral,procedures
912,Anesthesia for transurethral,resection of bladder
914,Anesthesia for transurethral,resection of prostate
916,Anesthesia for post-transure,thral resection bleeding
918,Anesthesia for transurethral,"procedures,w/fragmenta"
920,Anesthesia-proced on male ge,"nital ext genitalia, nos"
921,"Anesthesia-vasectomy, unilat",/bilateral
922,Anesthesia for procedures on,seminal vesicles
924,Anesth-proced on undescended,"testis, unilat/bilat"
926,Anesthesia for radical orchi,"ectomy, inguinal"
928,Anesthesia for radical orchi,"ectomy, abdominal"
930,"Anesthesia for orchiopexy, u",nilateral or bilateral
932,Anesthesia for complete ampu,tation of penis
934,Anesth-radical amputat-penis,w/bilat ing lymphaden
936,Anesth-rad amputa-penis w/bi,lat inguinal/iliac lymphaden
938,Anesth-insertion of penile p,rosthesis-perineal ap
940,"Anesth-vaginal procedures, n",os
942,"Anesth-for colpotomy, colpec","tomy, colporrhaphy"
944,Anesthesia for vaginal hyste,rectomy
948,Anesthesia for cervical cerc,lage
950,Anesthesia culdoscopy,
952,Anesthesia for hysteroscopy,
1112,Anesthesia-bone marrow aspir,"ation/biopsy, iliac crest"
1120,Anesthesia for procedures on,bony pelvis
1130,Anesthesia for body cast app,lication or revision
1140,Anesth for interpelviabdom a,mputation (hindquarter)
1150,Anesth-rad proced tumor of p,"elvis, ex hindqtr amputation"
1160,"Anesth-closed pro, involv sy",mphysis pubis/sacroiliac jnt
1170,Anesth-open pro involv symph,ysis pubis/sacroiliac jnt
1173,"Anesth-open repair, FX disru",pt
1180,Anesthesia for obturator neu,"rectomy, extrapelvic"
1190,Anesthesia for obturator neu,"rectomy, intrapelvic"
1200,Anesthesia for all closed pr,ocedures involving hip joint
1202,Anesthesia for arthroscopic,procedures of hip joint
1210,Anesthesia for open procedur,es involving hip joint; (nos)
1212,Anesthesia for hip disarticu,lation
1214,Anesthesia for total hip rep,lacement or revision
1215,Anesthesia for revision of t,otal hip arthroplasty
1220,Anesth-all closed proced inv,olv up 2/3 of femur-nos
1230,Anesth-all open proced invol,v up 2/3 of femur nos
1232,Anesth-open proced involv up,2/3 of femur; amputation
1234,Anesth-open proced involv up,2/3 of femur; rad resect
1250,Anesth-all proced nerves/mus,/ten/fasc/bur-up leg
1260,Anesth-all proced involv vei,ns of up leg incl exploration
1270,Anesth-all pro involv art-up,"leg, w/bypass graft; nos"
1272,Anesthesia for femoral arter,y ligation
1274,Anesthesia for femoral arter,y embolectomy
1320,Anest-all proc-nerves/mus/te,n/fasc/bur-knee/popliteal area
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
1340,Anesth-for all closed proced,on lower 1/3 of femur
1360,Anesth-for all open proced o,n lower 1/3 of femur
1380,Anesth-for all closed proced,on knee joint
1382,Anesth-for diag. arthroscopi,c proced of knee joint
1390,Anesth-all closed proced on,up ends of tibia/fibula/patella
1392,Anesth-all open proced on up,ends of tibia/fibula/patella
1400,Anesth-for open or surg arth,ro proced on knee joint nos
1402,Anesthesia for total knee re,placement
1404,Anesthesia for disarticulati,on at knee
1420,"Anesth-all cast applica, rem",oval/repair involv knee jnt
1430,Anesth-proced on veins of kn,ee/popliteal area nos
1432,Anesth-proced - veins-knee/p,opli area; arterioven fistula
1440,Anesth-for proced-arteries o,f knee/popli area nos
1442,Anesth-popliteal thromboenda,"rterectomy, w/wo pinch graft"
1444,Anesth-for popliteal excis/g,raft/repair for occlu/aneurysm
1462,Anesthe-all closed proced on,low leg/ankle/ft
1464,Anesthesia for arthroscopic,procedures on ankle/foot
1470,Anest open proc-nerves/mus/t,"ens/fascia, low leg/ank/ft"
1472,Anesth-repair of rupt achill,"es tendon, w/wo graft"
1474,Anest-pro-nerves/mus/ten/fas,cia-low leg/ank/ft; gastro recess
1480,Anesth for open proced on bo,nes-low leg/ank/ft nos
1482,Anesth for open proced on bo,nes-low leg/ank/ft; rad resect
1484,Anesth-open proced; osteotom,y/osteoplasty-tibia/fib
1486,Anesthesia for open procedur,es; total ankle replacement
1490,Anesthesia for lower leg cas,"t application, removal or repair"
1500,Anesth-proced on arteries-lo,w leg incl bypass graft nos
1502,Anesth; proced-arteries-low,leg; embolectomy-direct/cath
1520,Anesth for proced on veins o,f lower leg; nos
1522,Anesth; proc veins-low leg;,"venous thrombect, direct-w/cath"
1610,"Anest; proc-nerves/mus/tend,",fascia/bursae-shoulder/axilla
1620,Anesth; closed proc-hum head,/neck/sternoclavic jnt/shoulder
1622,Anesth; diag/arthroscopic pr,ocedures of shoulder joint
1630,Anest; open/surg proc-hum he,ad-neck/sternoclav/acromi/should jnts
1634,Anesthesia for shoulder disa,rticulation
1636,Anesthesia for interthoracos,capular (forquarter) amputation
1638,Anesthesia for total shoulde,r replacment
1650,Anesth-proced on arteries-sh,oulder/axilla nos
1652,Anesth-proced on art-should-,axilla; axil-brachial aneurysm
1654,Anesth-proced-arteries of sh,oulder/axilla; bypass graft
1656,Anesth-proced/art-shoulder/a,xilla; axillary-fem bypass graft
1670,Anesthesia for all procedure,s on veins of shoulder/axilla
1680,Anesthesia for shoulder cast,"application, repair or removal"
1682,Anesthesia for shoulder spic,a
1710,Anest; proc-nerves/musc/tend,/fascia/bursae-up arm/elbow nos
1712,"Anesthesia for tenotomy, elb","ow to shoulder, open"
1714,"Anesthesia for tenoplasty, e",lbow to shoulder
1716,"Anesthesia for tenodesis, ru",pture of long tendon of biceps
1730,Anesthesia for all closed pr,ocedures on humerus and elbow
1732,Anesthesia for diagnostic ar,"th proced, elbow jt"
1740,"Anesthesia, open or surg art",h proced on humerus/elbow (nos)
1742,Anesthesia for osteotomy of,humerus
1744,Anesthesia for repair of non,union or malunion of humerus
1756,Anest for radical procedures,(closed) on humerus or elbow
1758,Anesthesia for excision of c,yst or tumor of humerus
1760,Anesthesia for total elbow r,eplacement
1770,Anesthesia-proced on arterie,s-upper arm/elbow; nos
1772,Anesth-proced on arteries-up,arm/elbow; embolectomy
1780,Anesthesia for proced on vei,ns of upper arm/elbow; nos
1782,Anesth-proced on veins of up,per arm/elbow; phleborrhaphy
1810,Anest; proc-nerves/musc/tend,/fascia/bursae/f-arm/wrist/hand
1820,Anesth-all closed proced-rad,ius/ulna/wrist/hand bones
1829,"Anesth, diag procedures on w",rist
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
1830,"Anesth-open,surg arth/endosc","proced-radius/ulna/wrist/hand jt, nos"
1832,Anesthesia for total wrist r,eplacement
1840,Anesth-proced on arteries of,"forearm, wrist/hand; nos"
1842,Anesthesia for embolectomy;,"forearm, wrist or hand"
1844,Anesth-for vascular shunt/sh,"unt revision, any type"
1850,Anesth-proced-on veins of fo,"rearm, wrist/hand nos"
1852,Anesthesia for phleborrhaphy,"; forearm, wrist or hand"
1860,"Anesth-forearm, wrist/hand c","ast applica, removal/repair"
1916,"Anesth for arteriograms, nee",dle; carotid/vertebral
1920,Anest-cardiac cath w/coronar,y arterio/ventriculography
1922,Anesthesia for cat scanning/,mri
1924,Anesthesia for ther interv r,adiol arterial procedure
1925,Anesthesia for ther interv r,adiol arterial procedure
1926,Anesthesia for ther interv r,adiol arterial procedure
1930,Anesthesia for ther interv r,adiol venous procedure
1931,Anesthesia for ther interv r,adiol venous procedure
1932,Anesthesia for ther interv r,adiol venous procedure
1933,Anes tx interv rad cran V,
1935,Anesthesia for percutaneous,img Dx Spinal proc
1936,Anesthesia for percutaneous,img Tx Spinal proc
1951,Anesthesia for 2nd-3rd degre,e burn excis/debrid <1% body
1952,Anesthesia for 2nd-3rd degre,e burn excis/debrid 1-9% body
1953,Anesthesia for 2nd-3rd degre,e burn; each add'l 9% body
1958,"Anesthesia, external cephali",c vesio
1960,Anesthesia for vaginal deliv,ery
1961,Anesthesia for cesarean deli,very
1962,Anesthesia for urgent hyster,ectomy following delivery
1963,Anesthesia for cesarean hyst,erectomy
1965,Anesth incompl/missed aborti,on
1967,Neuroaxial labor analgesia/a,nesthesia
1968,Neuroaxial labor analgesia/a,nesthesia add-on code
1969,Neuroaxial labor analgesia/a,nesthesia add-on code
1990,Physio sup-harvesting-organ(,s) brain-dead patient
1991,Anesth diag/therapeutic nerv,"e block, inject, not prone"
1992,Anesth diag/therapeutic nerv,"e block, inject, prone"
1996,Daily hospital mgmt of epidu,ral/subarachoid drug adm
1999,Unlisted anesthesia procedur,e(s)
10004,Fna Bx W/O Img Gdn Ea Addl,
10005,Fna Bx W/Us Gdn 1St Les,
10006,Fna Bx W/Us Gdn Ea Addl,
10007,Fna Bx W/Fluor Gdn 1St Les,
10008,Fna Bx W/Fluor Gdn Ea Addl,
10009,Fna Bx W/Ct Gdn 1St Les,
10010,Fna Bx W/Ct Gdn Ea Addl,
10011,Fna Bx W/Mr Gdn 1St Les,
10012,Fna Bx W/Mr Gdn Ea Addl,
10021,Fna w/o image,
10022,Fna w/image,
10030,Guide cathet fluid drainage,
10035,Perq dev soft tiss 1st imag,
10036,Perq dev soft tiss add imag,
10040,cne surgery,
10060,rainage of skin abscess,
10061,rainage of skin abscess,
10080,rainage of pilonidal cyst,
10081,rainage of pilonidal cyst,
10120,emove foreign body,
10121,emove foreign body,
10140,rainage of hematoma/fluid,
10160,uncture drainage of lesion,
10180,omplex drainage wound,
11000,ebride infected skin,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
11001,Debride infected skin add-on,
11004,Debride genitalia & perineum,
11005,Debride abdom wall,
11006,Debride genit/per/abdom wall,
11008,Remove mesh from abd wall,
11010,ebride skin at fx site,
11011,Debride skin musc at fx site,
11012,Deb skin bone at fx site,
11042,Deb subq tissue 20 sq cm/<,
11043,eb musc/fascia 20 sq cm/<,
11044,eb bone 20 sq cm/<,
11045,Deb subq tissue add-on,
11046,Deb musc/fascia add-on,
11047,Deb bone add-on,
11055,Trim skin lesion,
11056,Trim skin lesions 2 to 4,
11057,Trim skin lesions over 4,
11100,Biopsy skin lesion,
11101,Biopsy skin add-on,
11102,Tangntl Bx Skin Single Les,
11103,Tangntl Bx Skin Ea Sep/Addl,
11104,Punch Bx Skin Single Lesion,
11105,Punch Bx Skin Ea Sep/Addl,
11106,Incal Bx Skn Single Les,
11107,Incal Bx Skn Ea Sep/Addl,
11200,emoval of skin tags <w/15,
11201,Remove skin tags add-on,
11300,Shave skin lesion 0.5 cm/<,
11301,Shave skin lesion 0.6-1.0 cm,
11302,Shave skin lesion 1.1-2.0 cm,
11303,Shave skin lesion >2.0 cm,
11305,Shave skin lesion 0.5 cm/<,
11306,Shave skin lesion 0.6-1.0 cm,
11307,Shave skin lesion 1.1-2.0 cm,
11308,Shave skin lesion >2.0 cm,
11310,Shave skin lesion 0.5 cm/<,
11311,Shave skin lesion 0.6-1.0 cm,
11312,Shave skin lesion 1.1-2.0 cm,
11313,Shave skin lesion >2.0 cm,
11400,xc tr-ext b9+marg 0.5 cm<,
11401,xc tr-ext b9+marg 0.6-1 cm,
11402,xc tr-ext b9+marg 1.1-2 cm,
11403,xc tr-ext b9+marg 2.1-3cm/<,
11404,xc tr-ext b9+marg 3.1-4 cm,
11406,xc tr-ext b9+marg >4.0 cm,
11420,xc h-f-nk-sp b9+marg 0.5/<,
11421,xc h-f-nk-sp b9+marg 0.6-1,
11422,xc h-f-nk-sp b9+marg 1.1-2,
11423,xc h-f-nk-sp b9+marg 2.1-3,
11424,xc h-f-nk-sp b9+marg 3.1-4,
11426,xc h-f-nk-sp b9+marg >4 cm,
11440,xc face-mm b9+marg 0.5 cm/<,
11441,xc face-mm b9+marg 0.6-1 cm,
11442,xc face-mm b9+marg 1.1-2 cm,
11443,xc face-mm b9+marg 2.1-3 cm,
11444,xc face-mm b9+marg 3.1-4 cm,
11446,xc face-mm b9+marg >4 cm,
11450,"emoval, sweat gland lesion",
11451,"emoval, sweat gland lesion",
11462,"emoval, sweat gland lesion",
11463,"emoval, sweat gland lesion",
11470,"emoval, sweat gland lesion",
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
11471,"emoval, sweat gland lesion",
11600,xc tr-ext mal+marg 0.5 < CM,
11601,xc tr-ext mal+marg 0.6-1 CM,
11602,xc tr-ext mal+marg 1.1-2 CM,
11603,xc tr-ext mal+marg 2.1-3 CM,
11604,xc tr-ext mal+marg 3.1-4 CM,
11606,xc tr-ext mal+marg > 4 CM,
11620,xc H-F-NK-SP mal+marg 0.5 <,
11621,xc S/N/H/F/G mal+mrg 0.6-1,
11622,xc S/N/H/F/G mal+mrg 1.1-2,
11623,xc S/N/H/F/G aml+mrg 2.1-3,
11624,xc S/N/H/F/G mal+mrg 3.1-4,
11626,xc S/N/H/F/G mal+mrg > 4 CM,
11640,xc F/E/E/N/L mal+mrg 0.5CM<,
11641,xc F/E/E/N/L mal+mrg 0.6-1,
11642,xc F/E/E/N/L mal+mrg 1.1-2,
11643,xc F/E/E/N/L mal+mrg 2.1-3,
11644,xc F/E/E/N/L mal+mrg 3.1-4,
11646,xc F/E/E/N/L mal+mrg > 4 CM,
11719,Trim nail(s),
11720,"Debride nail, 1-5",
